frequency,V
1.00000000e+00,-2.90839964e+01
1.12261258e+00,-2.90839964e+01
1.26025901e+00,-2.90839964e+01
1.41478263e+00,-2.90839964e+01
1.58825278e+00,-2.90839964e+01
1.78299256e+00,-2.90839964e+01
2.00160988e+00,-2.90839964e+01
2.24703244e+00,-2.90839964e+01
2.52254690e+00,-2.90839964e+01
2.83184289e+00,-2.90839964e+01
3.17906246e+00,-2.90839964e+01
3.56885553e+00,-2.90839964e+01
4.00644212e+00,-2.90839964e+01
4.49768235e+00,-2.90839964e+01
5.04915480e+00,-2.90839964e+01
5.66824472e+00,-2.90839964e+01
6.36324285e+00,-2.90839964e+01
7.14345649e+00,-2.90839964e+01
8.01933415e+00,-2.90839964e+01
9.00260543e+00,-2.90839964e+01
1.01064381e+01,-2.90839964e+01
1.13456146e+01,-2.90839964e+01
1.27367298e+01,-2.90839964e+01
1.42984131e+01,-2.90839964e+01
1.60515785e+01,-2.90839964e+01
1.80197040e+01,-2.90839964e+01
2.02291465e+01,-2.90839964e+01
2.27094944e+01,-2.90839964e+01
2.54939642e+01,-2.90839964e+01
2.86198450e+01,-2.90839964e+01
3.21289982e+01,-2.90839964e+01
3.60684176e+01,-2.90839964e+01
4.04908595e+01,-2.90839964e+01
4.54555484e+01,-2.90839964e+01
5.10289707e+01,-2.90839964e+01
5.72857646e+01,-2.90839964e+01
6.43097203e+01,-2.90839964e+01
7.21949012e+01,-2.90839964e+01
8.10469046e+01,-2.90839964e+01
9.09842750e+01,-2.90839964e+01
1.02140092e+02,-2.90839964e+01
1.14663753e+02,-2.90839964e+01
1.28722972e+02,-2.90839964e+01
1.44506028e+02,-2.90839964e+01
1.62224285e+02,-2.90839964e+01
1.82115024e+02,-2.90839964e+01
2.04444618e+02,-2.90839964e+01
2.29512101e+02,-2.90839964e+01
2.57653172e+02,-2.90839964e+01
2.89244693e+02,-2.90839964e+01
3.24709733e+02,-2.90839964e+01
3.64523232e+02,-2.90839964e+01
4.09218367e+02,-2.90839964e+01
4.59393689e+02,-2.90839964e+01
5.15721136e+02,-2.90839964e+01
5.78955037e+02,-2.90839964e+01
6.49942210e+02,-2.90839964e+01
7.29633304e+02,-2.90839964e+01
8.19095529e+02,-2.90839964e+01
9.19526948e+02,-2.90839964e+01
1.03227252e+03,-2.90839964e+01
1.15884212e+03,-2.90839964e+01
1.30093075e+03,-2.90839964e+01
1.46044123e+03,-2.90839964e+01
1.63950971e+03,-2.90839964e+01
1.84053423e+03,-2.90839964e+01
2.06620688e+03,-2.90839964e+01
2.31954985e+03,-2.90839964e+01
2.60395585e+03,-2.90839964e+01
2.92323360e+03,-2.90839964e+01
3.28165883e+03,-2.90839963e+01
3.68403150e+03,-2.90839963e+01
4.13574012e+03,-2.90839963e+01
4.64283390e+03,-2.90839963e+01
5.21210376e+03,-2.90839962e+01
5.85117327e+03,-2.90839962e+01
6.56860075e+03,-2.90839961e+01
7.37399386e+03,-2.90839961e+01
8.27813830e+03,-2.90839960e+01
9.29314222e+03,-2.90839959e+01
